video_id,author,comment,like_count,published_at,keyword,video_title
W8gwaB_t9wQ,@tanatugu3530,Geek hyper is loser,0,2026-05-05T16:55:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@VaneenNatchai,Kelra the best 🎉🎉🎉,0,2026-04-16T05:32:21Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@VaneenNatchai,Kelra balik kana onic ph😢😢😢,0,2026-04-16T05:32:03Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@_aztecsesports_888,No pheww,0,2026-04-11T02:58:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@gregvalispin4215,I watch mpl id bcus of kelra .. haha hambalusin mo sila kelra haha,0,2026-04-03T13:24:22Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@ChhakchhuakLalnunsanga-l9c,W mirko,0,2026-04-03T08:09:20Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@NatanSpacetimeWalker8229,Ang panalo ng Onic ID ay panala ng pinoy. Kelra,0,2026-04-01T11:42:52Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@friedXchicken,TLID vs Navi first game  😂😂 definition of dont celebrate too early 😂😂,0,2026-03-31T17:03:09Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@acegolde4746,Man this games isn't gonna do much against PH tbh. slow and predictable,0,2026-03-31T00:32:20Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@RichardMarzan-e9p,First time watching mpl I'd because of kelra Philippines number 1,1,2026-03-30T15:12:14Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@adilafrizal2335,"6:55:55
5.9k gold lead with 4.9k gold lead on the jungler only and you casters don't discuss about how close it actually was? c'mon man you guys can do it better 😂",1,2026-03-30T15:11:49Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@JustineriveroDacayan,Go kirie and kelra,0,2026-03-30T10:03:54Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@Kishen-p6s,Aran What a Freya ! wow,0,2026-03-30T09:06:18Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@shi-t,NAVI is the worst at taking advantage of a gold lead. Bad positioning most of the time.,0,2026-03-30T07:36:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@RedJimanquilo-j1z,Boyset tagal,0,2026-03-29T13:15:29Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
W8gwaB_t9wQ,@ZeeLenaMontage,KAWAY KAWAY SA MGA ANDITO PARA SUPORTAHAN SI KELRA 🔥,5,2026-03-29T09:18:41Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English
