video_id,author,comment,like_count,published_at,keyword,video_title,cleaning,case_folding,tokenizing,normalisasi,label
W8gwaB_t9wQ,@tanatugu3530,Geek hyper is loser,0,2026-05-05T16:55:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Geek hyper is loser,geek hyper is loser,"['geek', 'hyper', 'is', 'loser']","['geek', 'hyper', 'is', 'loser']",Non-Toxic
W8gwaB_t9wQ,@VaneenNatchai,Kelra the best 🎉🎉🎉,0,2026-04-16T05:32:21Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Kelra the best,kelra the best,"['kelra', 'the', 'best']","['kelra', 'the', 'best']",Non-Toxic
W8gwaB_t9wQ,@VaneenNatchai,Kelra balik kana onic ph😢😢😢,0,2026-04-16T05:32:03Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Kelra balik kana onic ph,kelra balik kana onic ph,"['kelra', 'balik', 'kana', 'onic', 'ph']","['kelra', 'balik', 'kana', 'onic', 'ph']",Non-Toxic
W8gwaB_t9wQ,@_aztecsesports_888,No pheww,0,2026-04-11T02:58:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,No pheww,no pheww,"['no', 'pheww']","['no', 'pheww']",Non-Toxic
W8gwaB_t9wQ,@gregvalispin4215,I watch mpl id bcus of kelra .. haha hambalusin mo sila kelra haha,0,2026-04-03T13:24:22Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,I watch mpl id bcus of kelra haha hambalusin mo sila kelra haha,i watch mpl id bcus of kelra haha hambalusin mo sila kelra haha,"['i', 'watch', 'mpl', 'id', 'bcus', 'of', 'kelra', 'haha', 'hambalusin', 'mo', 'sila', 'kelra', 'haha']","['i', 'watch', 'mpl', 'id', 'bcus', 'of', 'kelra', 'haha', 'hambalusin', 'mo', 'sila', 'kelra', 'haha']",Non-Toxic
W8gwaB_t9wQ,@ChhakchhuakLalnunsanga-l9c,W mirko,0,2026-04-03T08:09:20Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,W mirko,w mirko,"['w', 'mirko']","['w', 'mirko']",Non-Toxic
W8gwaB_t9wQ,@NatanSpacetimeWalker8229,Ang panalo ng Onic ID ay panala ng pinoy. Kelra,0,2026-04-01T11:42:52Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Ang panalo ng Onic ID ay panala ng pinoy Kelra,ang panalo ng onic id ay panala ng pinoy kelra,"['ang', 'panalo', 'ng', 'onic', 'id', 'ay', 'panala', 'ng', 'pinoy', 'kelra']","['ang', 'panalo', 'ng', 'onic', 'id', 'ay', 'panala', 'ng', 'pinoy', 'kelra']",Non-Toxic
W8gwaB_t9wQ,@friedXchicken,TLID vs Navi first game  😂😂 definition of dont celebrate too early 😂😂,0,2026-03-31T17:03:09Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,TLID vs Navi first game definition of dont celebrate too early,tlid vs navi first game definition of dont celebrate too early,"['tlid', 'vs', 'navi', 'first', 'game', 'definition', 'of', 'dont', 'celebrate', 'too', 'early']","['tlid', 'vs', 'navi', 'first', 'game', 'definition', 'of', 'dont', 'celebrate', 'too', 'early']",Non-Toxic
W8gwaB_t9wQ,@acegolde4746,Man this games isn't gonna do much against PH tbh. slow and predictable,0,2026-03-31T00:32:20Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Man this games isnt gonna do much against PH tbh slow and predictable,man this games isnt gonna do much against ph tbh slow and predictable,"['man', 'this', 'games', 'isnt', 'gonna', 'do', 'much', 'against', 'ph', 'tbh', 'slow', 'and', 'predictable']","['man', 'this', 'games', 'isnt', 'gonna', 'do', 'much', 'against', 'ph', 'tbh', 'slow', 'and', 'predictable']",Non-Toxic
W8gwaB_t9wQ,@RichardMarzan-e9p,First time watching mpl I'd because of kelra Philippines number 1,1,2026-03-30T15:12:14Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,First time watching mpl Id because of kelra Philippines number,first time watching mpl id because of kelra philippines number,"['first', 'time', 'watching', 'mpl', 'id', 'because', 'of', 'kelra', 'philippines', 'number']","['first', 'time', 'watching', 'mpl', 'id', 'because', 'of', 'kelra', 'philippines', 'number']",Non-Toxic
